label,engine,tg_tps,pp_tps,accept,reps,rc
baseline,v0.2.0-4 TheRock gfx110X,35.50,244.00,,3,0/0/0
mtp,v0.2.0-4 TheRock gfx110X,49.80,207.00,,3,0/0/0
dflash1,v0.2.0-4 TheRock gfx110X,41.40,16.10,,3,0/0/0
dflash2,v0.2.0-4 TheRock gfx110X,31.50,31.20,,3,0/0/0
