label,rep,tg_tps,pp_tps,accept,rc
none,1,30.8,199.7,,0
none,2,31.9,51.1,,0
none,3,31.3,184.2,,0
mtp_nm1,1,34.3,35.3,,0
mtp_nm1,2,25.9,16.6,,0
mtp_nm1,3,16.6,30.3,,0
dflash2_nm7,1,14.8,12.8,,0
dflash2_nm7,2,6.1,1.1,,0
dflash2_nm7,3,9.0,1.1,,0
dflash2_nm8,1,15.4,3.4,,0
dflash2_nm8,2,20.6,10.3,,0
dflash2_nm8,3,18.2,34.8,,0
