label,engine,tg_tps,pp_tps,accept,reps,rc
baseline,v0.2.0-4 HIP,33.90,235.70,,3,0/0/0
mtp,v0.2.0-4 HIP,46.70,137.60,,3,0/0/0
dflash1,v0.2.0-4 HIP,35.20,35.80,,3,0/0/0
dflash2,v0.2.0-4 HIP,32.70,20.50,,3,0/0/0
