label,rep,tg_tps,pp_tps,accept,rc
baseline,1,33.9,258.1,,0
baseline,2,17.7,107.3,,0
baseline,3,33.5,285.7,,0
mtp,1,47.2,88.7,,0
mtp,2,44.0,74.2,,0
mtp,3,45.7,100.5,,0
dflash1,1,33.0,20.3,,0
dflash1,2,37.2,19.7,,0
dflash1,3,35.4,30.4,,0
dflash2,1,25.5,24.8,,0
dflash2,2,30.9,19.2,,0
dflash2,3,34.4,11.8,,0
