label,rep,tg_tps,pp_tps,accept,rc
baseline,1,33.6,109.9,,0
baseline,2,34.1,235.7,,0
baseline,3,33.9,266.0,,0
mtp,1,46.0,130.3,,0
mtp,2,46.7,137.6,,0
mtp,3,46.7,160.0,,0
dflash1,1,33.7,39.4,,0
dflash1,2,35.8,30.8,,0
dflash1,3,35.2,35.8,,0
dflash2,1,21.1,17.0,,0
dflash2,2,32.7,22.2,,0
dflash2,3,34.5,20.5,,0
